Series:str,Age:int,Sex:str,Deferred_Period:str,Occupation:str,Value:float
IP06,34,M,DP4,OC4,0.0075379999999999996
IP06,35,M,DP4,OC4,0.008084000000000001
IP06,36,M,DP4,OC4,0.008669
IP06,37,M,DP4,OC4,0.009295999999999999
IP06,38,M,DP4,OC4,0.009969
IP06,39,M,DP4,OC4,0.010690999999999999
IP06,40,M,DP4,OC4,0.011465000000000001
IP06,41,M,DP4,OC4,0.012295
IP06,42,M,DP4,OC4,0.013184999999999999
IP06,43,M,DP4,OC4,0.014138999999999999
IP06,44,M,DP4,OC4,0.015163
IP06,45,M,DP4,OC4,0.01626
IP06,46,M,DP4,OC4,0.017437
IP06,47,M,DP4,OC4,0.018699
IP06,48,M,DP4,OC4,0.020053
IP06,49,M,DP4,OC4,0.021505
IP06,50,M,DP4,OC4,0.023061
IP06,51,M,DP4,OC4,0.024730000000000002
IP06,52,M,DP4,OC4,0.026521
IP06,53,M,DP4,OC4,0.028439999999999997
IP06,54,M,DP4,OC4,0.030499000000000002
IP06,55,M,DP4,OC4,0.032707
IP06,56,M,DP4,OC4,0.035074
IP06,57,M,DP4,OC4,0.037613
IP06,58,M,DP4,OC4,0.040336000000000004
IP06,59,M,DP4,OC4,0.043255
IP06,60,M,DP4,OC4,0.046386000000000004
IP06,61,M,DP4,OC4,0.049744
IP06,62,M,DP4,OC4,0.053345000000000004
IP06,63,M,DP4,OC4,0.05720599999999999
IP06,64,M,DP4,OC4,0.061347000000000006
IP06,65,M,DP4,OC4,0.065788
IP06,66,M,DP4,OC4,0.07055
IP06,67,M,DP4,OC4,0.075657
IP06,68,M,DP4,OC4,0.08113300000000001
IP06,69,M,DP4,OC4,0.087006
IP06,70,M,DP4,OC4,0.093304
IP06,17,F,DP4,OC4,0.003211
IP06,18,F,DP4,OC4,0.003443
IP06,19,F,DP4,OC4,0.003692
IP06,20,F,DP4,OC4,0.00396
IP06,21,F,DP4,OC4,0.004246
IP06,22,F,DP4,OC4,0.004554
IP06,23,F,DP4,OC4,0.004883
IP06,24,F,DP4,OC4,0.0052369999999999995
IP06,25,F,DP4,OC4,0.0056159999999999995
IP06,26,F,DP4,OC4,0.006022
IP06,27,F,DP4,OC4,0.006458
IP06,28,F,DP4,OC4,0.006926000000000001
IP06,29,F,DP4,OC4,0.007427
IP06,30,F,DP4,OC4,0.007965
IP06,31,F,DP4,OC4,0.008541
IP06,32,F,DP4,OC4,0.009159
IP06,33,F,DP4,OC4,0.009822
IP06,34,F,DP4,OC4,0.010533
IP06,35,F,DP4,OC4,0.011295999999999999
IP06,36,F,DP4,OC4,0.012112999999999999
IP06,37,F,DP4,OC4,0.01299
IP06,38,F,DP4,OC4,0.013931
IP06,39,F,DP4,OC4,0.014939
IP06,40,F,DP4,OC4,0.01602
IP06,41,F,DP4,OC4,0.01718
IP06,42,F,DP4,OC4,0.018423
IP06,43,F,DP4,OC4,0.019757
IP06,44,F,DP4,OC4,0.021187
IP06,45,F,DP4,OC4,0.022721
IP06,46,F,DP4,OC4,0.024365
IP06,47,F,DP4,OC4,0.026129000000000003
IP06,48,F,DP4,OC4,0.028020999999999997
IP06,49,F,DP4,OC4,0.030049
IP06,50,F,DP4,OC4,0.032224
IP06,51,F,DP4,OC4,0.034556
IP06,52,F,DP4,OC4,0.037058
IP06,53,F,DP4,OC4,0.03974
IP06,54,F,DP4,OC4,0.042617
IP06,55,F,DP4,OC4,0.045702
IP06,56,F,DP4,OC4,0.049010000000000005
IP06,57,F,DP4,OC4,0.05255800000000001
IP06,58,F,DP4,OC4,0.056362
IP06,59,F,DP4,OC4,0.060441999999999996
IP06,60,F,DP4,OC4,0.064817
IP06,61,F,DP4,OC4,0.069509
IP06,62,F,DP4,OC4,0.07454
IP06,63,F,DP4,OC4,0.07993600000000001
IP06,64,F,DP4,OC4,0.085722
IP06,65,F,DP4,OC4,0.091927
IP06,66,F,DP4,OC4,0.09858099999999999
IP06,67,F,DP4,OC4,0.105717
IP06,68,F,DP4,OC4,0.11337
IP06,69,F,DP4,OC4,0.121576
IP06,70,F,DP4,OC4,0.130376
